No,Tanggal,Minggu,Harga Cabai Merah Keriting (Rp)
1,03/01/2021,Jan  2021 (I),"56,550"
2,10/01/2021,Jan  2021 (II),"53,200"
3,17/01/2021,Jan  2021 (III),"48,800"
4,24/01/2021,Jan  2021 (IV),"40,450"
5,31/01/2021,Feb  2021 (V),"58,600"
6,07/02/2021,Feb  2021 (I),"63,200"
7,14/02/2021,Feb  2021 (II),"53,800"
8,21/02/2021,Feb  2021 (III),"58,750"
9,28/02/2021,Mar  2021 (V),"55,300"
10,07/03/2021,Mar  2021 (I),"49,500"
11,14/03/2021,Mar  2021 (II),"54,400"
12,21/03/2021,Mar  2021 (III),"54,650"
13,28/03/2021,Mar  2021 (IV),"54,200"
14,04/04/2021,Apr  2021 (I),"54,000"
15,11/04/2021,Apr  2021 (II),"51,750"
16,18/04/2021,Apr  2021 (III),"48,000"
17,25/04/2021,Apr  2021 (IV),"39,000"
18,02/05/2021,May  2021 (I),"38,400"
19,09/05/2021,May  2021 (II),"53,150"
20,16/05/2021,May  2021 (III),"32,100"
21,23/05/2021,May  2021 (IV),"27,650"
22,30/05/2021,May  2021 (V),"27,300"
23,06/06/2021,Jun  2021 (I),"26,550"
24,13/06/2021,Jun  2021 (II),"24,200"
25,20/06/2021,Jun  2021 (III),"24,950"
26,27/06/2021,Jun  2021 (IV),"26,850"
27,04/07/2021,Jul  2021 (I),"25,500"
28,11/07/2021,Jul  2021 (II),"24,750"
29,18/07/2021,Jul  2021 (III),"32,150"
30,25/07/2021,Jul  2021 (IV),"28,150"
31,01/08/2021,Aug  2021 (V),"26,200"
32,08/08/2021,Aug  2021 (I),"25,300"
33,15/08/2021,Aug  2021 (II),"22,300"
34,22/08/2021,Aug  2021 (III),"21,200"
35,29/08/2021,Aug  2021 (IV),"20,800"
36,05/09/2021,Sep  2021 (I),"21,400"
37,12/09/2021,Sep  2021 (II),"22,550"
38,19/09/2021,Sep  2021 (III),"24,300"
39,26/09/2021,Sep  2021 (IV),"28,100"
40,03/10/2021,Oct  2021 (I),"33,950"
41,10/10//2021,Oct  2021 (II),"36,200"
42,17/10/2021,Oct  2021 (III),"34,400"
43,24/10/2021,Oct  2021 (IV),"33,450"
44,31/10/2021,Nov  2021 (V),"43,200"
45,07/11/2021,Nov  2021 (I),"48,650"
46,14/11/2021,Nov  2021 (II),"45,650"
47,21/11/2021,Nov  2021 (III),"48,950"
48,28/11/2021,Nov  2021 (IV),"45,150"
49,05/12/2021,Dec  2021 (I),"49,200"
50,12/12/2021,Dec  2021 (II),"49,450"
51,19/12/2021,Dec  2021 (III),"42,550"
52,26/12/2021,Dec  2021 (IV),"40,400"
53,02/01/2022,Jan  2022 (I),"37,700"
54,09/01/2022,Jan  2022 (II),"27,600"
55,16/01/2022,Jan  2022 (III),"32,950"
56,23/01/2022,Jan  2022 (IV),"31,750"
57,30/01/2022,Jan  2022 (V),"29,800"
58,06/02/2022,Feb  2022 (I),"33,200"
59,13/02/2022,Feb  2022 (II),"35,350"
60,20/02/2022,Feb  2022 (III),"41,750"
61,27/02/2022,Feb  2022 (IV),"49,600"
62,06/03/2022,Mar  2022 (I),"50,800"
63,13/03/2022,Mar  2022 (II),"49,550"
64,20/03/2022,Mar  2022 (III),"45,200"
65,27/03/2022,Mar  2022 (IV),"42,750"
66,03/04/2022,Apr  2022 (I),"51,500"
67,10/04/2022,Apr  2022 (II),"34,750"
68,17/04/2022,Apr  2022 (III),"35,600"
69,24/04/2022,Apr  2022 (IV),"48,200"
71,01/05/2022,May  2022 (I),"38,150"
72,08/05/2022,May  2022 (II),"45,050"
73,15/05/2022,May  2022 (III),"47,750"
74,22/05/2022,May  2022 (IV),"59,550"
75,29/05/2022,Jun  2022 (I),"70,550"
76,05/06/2022,Jun  2022 (II),"82,300"
77,12/06/2022,Jun  2022 (III),"89,700"
78,19/06/2022,Jun  2022 (IV),"85,950"
79,26/06/2022,Jul  2022 (I),"94,000"
80,03/07/2022,Jul  2022 (II),"102,750"
81,10/07/2022,Jul  2022 (III),"94,500"
82,17/07/2022,Jul  2022 (IV),"79,100"
83,24/07/2022,Aug  2022 (V),"73,500"
84,31/07/2022,Aug  2022 (I),"71,700"
85,07/08/2022,Aug  2022 (II),"64,700"
86,14/08/2022,Aug  2022 (III),"60,850"
87,21/08/2022,Aug  2022 (IV),"61,100"
88,28/08/2022,Sep  2022 (I),"79,250"
89,04/09/2022,Sep  2022 (II),"69,750"
90,11/09/2022,Sep  2022 (III),"64,750"
91,18/09/2022,Sep  2022 (IV),"53,500"
92,25/09/2022,Oct  2022 (I),"54,000"
93,02/10/2022,Oct  2022 (II),"61,100"
94,09/10/2022,Oct  2022 (III),"50,000"
95,16/10/2022,Oct  2022 (IV),"44,400"
96,23/10/2022,Oct  2022 (V),"41,150"
97,30/10/2022,Nov  2022 (I),"34,750"
98,06/11/2022,Nov  2022 (II),"34,150"
99,13/11/2022,Nov  2022 (III),"32,800"
100,20/11/2022,Nov  2022 (IV),"34,400"
101,27/11/2022,Dec  2022 (I),"37,850"
102,04/12/2022,Dec  2022 (II),"38,900"
103,11/12/2022,Dec  2022 (III),"35,550"
104,18/12/2022,Dec  2022 (IV),"36,650"
105,25/12/2022,Jan  2023 (V),"49,000"
106,01/01/2023,Jan  2023 (I),"46,950"
